job_id,company_id,company_name,job_title,role_family,posted_date,location,dfw_score,recency_score,profile_match_score,early_career_score,skills_match_score,portfolio_support_score,sponsor_score,total_fit_score,fit_tier,recommended_action,source_url,last_scored
J0001,C001,JPMorgan Chase,AI Automation Analyst,Enterprise Technology,2026-06-28,Plano / Dallas,20,15,20,5,10,10,5,85,A,immediate_outreach,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,2026-07-06
J0002,C001,JPMorgan Chase,Technology Analyst,Enterprise Technology,2026-07-01,Plano / Dallas,20,15,20,5,10,8,5,83,A,immediate_outreach,https://careers.jpmorgan.com/professionals,2026-07-06
J0003,C001,JPMorgan Chase,Cloud Security Analyst,Enterprise Technology,2026-07-03,Plano / Dallas,20,15,23,5,10,10,5,88,A,immediate_outreach,https://careers.jpmorgan.com/about/technology,2026-07-06
J0004,C002,Goldman Sachs,Security Engineer,Enterprise Technology,2026-04-04,Dallas,20,0,20,5,10,10,5,70,B,apply_monitor,https://careers.example.com/goldman-sachs/jobs/J0004,2026-07-06
J0005,C002,Goldman Sachs,Business Systems Analyst,Enterprise Technology,2026-05-05,Dallas,20,0,20,5,10,8,5,68,B,apply_monitor,https://careers.example.com/goldman-sachs/jobs/J0005,2026-07-06
J0006,C002,Goldman Sachs,Operations Technology Analyst,Enterprise Technology,2026-06-06,Dallas,20,8,23,5,10,10,5,81,A,immediate_outreach,https://careers.example.com/goldman-sachs/jobs/J0006,2026-07-06
J0007,C003,Bank of America,Security Engineer,Enterprise Technology,2026-01-07,Dallas,20,0,20,5,10,10,5,70,B,apply_monitor,https://careers.example.com/bank-of-america/jobs/J0007,2026-07-06
J0008,C003,Bank of America,Platform Engineer,Enterprise Technology,2026-02-08,Dallas,20,0,17,5,10,8,5,65,B,apply_monitor,https://careers.example.com/bank-of-america/jobs/J0008,2026-07-06
J0009,C003,Bank of America,Technology Risk Analyst,Enterprise Technology,2026-03-09,Dallas,20,0,23,5,10,10,5,73,B,apply_monitor,https://careers.example.com/bank-of-america/jobs/J0009,2026-07-06
J0010,C004,Citi,Security Engineer,Enterprise Technology,2026-04-10,Irving,20,0,20,5,10,10,5,70,B,apply_monitor,https://careers.example.com/citi/jobs/J0010,2026-07-06
J0011,C004,Citi,AI Automation Analyst,Enterprise Technology,2026-05-11,Irving,20,0,20,5,10,8,5,68,B,apply_monitor,https://careers.example.com/citi/jobs/J0011,2026-07-06
J0012,C005,Charles Schwab,Cloud Analyst,Enterprise Technology,2026-01-13,Westlake / DFW,20,0,20,5,10,10,2,67,B,apply_monitor,https://careers.example.com/charles-schwab/jobs/J0013,2026-07-06
J0013,C005,Charles Schwab,Data Engineer,Enterprise Technology,2026-02-14,Westlake / DFW,20,0,17,5,10,8,2,62,B,apply_monitor,https://careers.example.com/charles-schwab/jobs/J0014,2026-07-06
J0014,C005,Charles Schwab,Data Analyst,Enterprise Technology,2026-03-15,Westlake / DFW,20,0,23,5,10,10,2,70,B,apply_monitor,https://careers.example.com/charles-schwab/jobs/J0015,2026-07-06
J0015,C006,Capital One,Data Analyst,Enterprise Technology,2026-04-16,Plano,20,0,25,5,10,10,5,75,A,immediate_outreach,https://careers.example.com/capital-one/jobs/J0016,2026-07-06
J0016,C006,Capital One,Cloud Security Analyst,Enterprise Technology,2026-05-17,Plano,20,0,23,5,10,10,5,73,B,apply_monitor,https://careers.example.com/capital-one/jobs/J0017,2026-07-06
J0017,C006,Capital One,Technology Risk Analyst,Enterprise Technology,2026-06-18,Plano,20,8,23,5,10,10,5,81,A,immediate_outreach,https://careers.example.com/capital-one/jobs/J0018,2026-07-06
J0018,C007,Toyota Motor North America,Cybersecurity Analyst,Enterprise Technology,2026-01-19,Plano,20,0,25,5,10,10,5,75,A,immediate_outreach,https://careers.example.com/toyota-motor-north-america/jobs/J0019,2026-07-06
J0019,C007,Toyota Motor North America,Cloud Security Analyst,Enterprise Technology,2026-02-20,Plano,20,0,23,5,10,10,5,73,B,apply_monitor,https://careers.example.com/toyota-motor-north-america/jobs/J0020,2026-07-06
J0020,C008,AT&T,Operations Technology Analyst,Enterprise Technology,2026-04-22,Dallas / Plano / Irving,20,0,23,5,10,10,2,70,B,apply_monitor,https://careers.example.com/at&t/jobs/J0022,2026-07-06
J0021,C008,AT&T,Platform Engineer,Enterprise Technology,2026-05-23,Dallas / Plano / Irving,20,0,17,5,10,8,2,62,B,apply_monitor,https://careers.example.com/at&t/jobs/J0023,2026-07-06
J0022,C008,AT&T,Business Systems Analyst,Enterprise Technology,2026-06-24,Dallas / Plano / Irving,20,15,23,5,10,10,2,85,A,immediate_outreach,https://careers.example.com/at&t/jobs/J0024,2026-07-06
