card_id,job_id,company_id,company_name,job_title,person_id,person_name,contact_type,pipeline_stage,priority_score,fit_score,company_priority_score,sponsorship_score,proof_score,people_verification_score,urgency_score,recommendation_action,next_action,proof_asset_id,proof_asset_title,follow_up_date,last_updated,data_confidence,blocked_reason,notes
PC-J0007,J0007,C003,Bank of America,Security Engineer,,TBD,recruiter,Person Verification,81.3,91.3,75.2,89.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0004,J0004,C002,Goldman Sachs,Security Engineer,,TBD,recruiter,Person Verification,80.8,91.3,75.2,86.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0001,J0001,C001,JPMorgan Chase,AI Automation Analyst,P002,TBD Hiring Manager,hiring_manager,Person Verification,80.1,91.3,75.2,81.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0005,J0005,C002,Goldman Sachs,Business Systems Analyst,,TBD,recruiter,Person Verification,79.8,84.5,75.2,86.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA002,Career Intelligence OS Case Study,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0059,J0059,C024,McKesson,Data Analyst,P030,TBD Hiring Manager,hiring_manager,Person Verification,78.7,94.7,75.2,65.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0010,J0010,C004,Citi,Security Engineer,P006,TBD Hiring Manager,hiring_manager,Person Verification,77.9,91.3,72.8,70.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0060,J0060,C024,McKesson,Security Engineer,P030,TBD Hiring Manager,hiring_manager,Person Verification,77.9,88.6,75.2,65.0,100,15.0,100,apply now,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0008,J0008,C003,Bank of America,Platform Engineer,,TBD,recruiter,Person Verification,77.8,84.5,75.2,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0031,J0031,C012,KPMG,Data Analyst,,TBD,recruiter,Person Verification,77.8,94.7,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0038,J0038,C015,Cognizant,Operations Technology Analyst,,TBD,recruiter,Person Verification,77.8,94.7,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0056,J0056,C023,Southwest Airlines,Technology Risk Analyst,,TBD,recruiter,Person Verification,77.7,91.3,75.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
