company,title,location,job_url,description,posted_date,role_family,visa_notes
JPMorgan Chase,AI Automation Analyst,Plano / Dallas,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,"We are seeking a AI Automation Analyst to support Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-06-28,Cloud / Security / Data / AI / Analyst,"Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
JPMorgan Chase,Technology Analyst,Plano / Dallas,https://careers.jpmorgan.com/professionals,"Join our Technology Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-07-01,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
JPMorgan Chase,Cloud Security Analyst,Plano / Dallas,https://careers.jpmorgan.com/about/technology,"The Cloud Security Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-07-03,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Security Engineer,Dallas,https://careers.example.com/goldman-sachs/jobs/J0004,"We are seeking a Security Engineer to support Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-04,Cloud / Security / Data / AI / Analyst,"Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Business Systems Analyst,Dallas,https://careers.example.com/goldman-sachs/jobs/J0005,"Join our Business Systems Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-05,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Operations Technology Analyst,Dallas,https://careers.example.com/goldman-sachs/jobs/J0006,"The Operations Technology Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-06,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Security Engineer,Dallas,https://careers.example.com/bank-of-america/jobs/J0007,"We are seeking a Security Engineer to support New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-07,Cloud / Security / Data / AI / Analyst,"New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Platform Engineer,Dallas,https://careers.example.com/bank-of-america/jobs/J0008,"Join our Platform Engineer team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-08,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Technology Risk Analyst,Dallas,https://careers.example.com/bank-of-america/jobs/J0009,"The Technology Risk Analyst role addresses enterprise IAM and zero-trust implementation across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-09,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Citi,Security Engineer,Irving,https://careers.example.com/citi/jobs/J0010,"We are seeking a Security Engineer to support Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-10,Cloud / Security / Data / AI / Analyst,"Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
