person_id,company_id,company_name,role_title,contact_type,person_name,verification_status,search_query_url,hiring_power_score,notes
P001,C001,JPMorgan Chase,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=JPMorgan%20Chase%20technology%20recruiter%20Plano,65,Verify identity before outreach; use company careers portal first
P002,C001,JPMorgan Chase,TBD — Hiring Manager Cloud/Security,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=JPMorgan%20Chase%20cloud%20security%20manager%20Plano,85,Target after recruiter screen; verify title via public org chart if available
P003,C001,JPMorgan Chase,TBD — Technology Analyst Peer,peer,TBD Peer Analyst,placeholder,https://www.linkedin.com/search/results/people/?keywords=JPMorgan%20Chase%20technology%20analyst%20Plano,45,Informational only; no referral assumptions
P004,C001,JPMorgan Chase,TBD — UT Dallas Alumni at JPM,alumni,TBD Alumni Contact,placeholder,https://www.linkedin.com/search/results/people/?keywords=JPMorgan%20Chase%20UT%20Dallas%20alumni,50,Verify alumni affiliation before referencing
P005,C004,Citi,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=Citi%20technology%20recruiter%20Irving,60,Use jobs.citi.com as primary channel
P006,C004,Citi,TBD — Irving Campus Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=Citi%20Irving%20technology%20manager,80,Verify team alignment with role family
P007,C004,Citi,TBD — Risk/Platform Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=Citi%20Irving%20technology%20analyst,40,Informational chat only
P008,C006,Capital One,TBD — University Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=Capital%20One%20university%20recruiter%20Plano,70,Strong campus recruiting signal; verify current role
P009,C006,Capital One,TBD — Cloud/Data Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=Capital%20One%20cloud%20engineering%20manager%20Plano,85,High priority for technical screen prep
P010,C006,Capital One,TBD — Data Analyst Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=Capital%20One%20data%20analyst%20Plano,45,Learn day-to-day before applying
P011,C007,Toyota Motor North America,TBD — Cybersecurity Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=Toyota%20Motor%20North%20America%20recruiter%20Plano,55,Automotive enterprise hiring cycles vary
