signal_id,company_id,company_name,signal_type,signal_title,signal_date,business_unit,technology_area,location,relevance_score,source_type,source_url,confidence_level,last_verified,notes
DS-C001-01,C001,JPMorgan Chase,job_posting,Software Engineer Program — Plano TX,2026-06-28,Global Technology,Software Engineering,"Plano, TX",95,careers_portal,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,high,2026-07-04,SEP summer program cites Plano tech hub and Python/Java stack
DS-C001-02,C001,JPMorgan Chase,hiring_event,Design Development Program — Plano tech hub,2026-06-25,Global Technology,UI/UX / Product Design,"Plano, TX",88,careers_portal,https://careers.jpmorgan.com/us/en/students/programs/design-dev-fulltime,high,2026-07-04,Veteran pathway story highlights Plano technology hub
DS-C001-03,C001,JPMorgan Chase,press_release,"60,000+ technologists driving innovation",2026-06-20,Corporate Technology,AI / Data / Cloud,Global / DFW,90,careers_portal,https://careers.jpmorgan.com/about/technology,high,2026-07-04,Official technology careers page — scale and AI themes
DS-C001-04,C001,JPMorgan Chase,blog_post,High-powered tech careers portal,2026-06-18,Technology,Software Engineering / Data Science,DFW,85,careers_portal,https://careers.jpmorgan.com/professionals,high,2026-07-04,"Professionals portal — ML, AI, software engineering hiring"
DS-C001-05,C001,JPMorgan Chase,transformation_project,AI productivity platform with governance,2026-06-15,Corporate Technology,AI Automation,Plano / Dallas,92,careers_site,https://careers.jpmorgan.com/about/technology,high,2026-07-04,AI-driven productivity with governance emphasis
DS-C001-06,C001,JPMorgan Chase,product_launch,Digital banking modernization,2026-06-10,Consumer Banking,Platform Modernization,DFW,80,newsroom,https://www.jpmorganchase.com/newsroom,medium,2026-07-04,Newsroom themes on digital banking investment
DS-C001-07,C001,JPMorgan Chase,leadership_update,Technology leadership — Global CIO,2026-05-28,Executive,Technology Strategy,Global,75,official_site,https://www.jpmorganchase.com/about/leadership/lori-beer,verified_public,2026-07-04,Lori Beer — Global CIO on official leadership page
DS-C001-08,C001,JPMorgan Chase,webinar,Explore opportunities — technology lines of business,2026-06-22,Campus Recruiting,Early Career,"Plano, TX",82,careers_portal,https://careers.jpmorgan.com/careers/explore-opportunities,high,2026-07-04,Student and early-career technology pathways
DS-C001-09,C001,JPMorgan Chase,job_posting,Cybersecurity Developer track — SEP,2026-06-30,Cybersecurity,Cloud Security / DevSecOps,"Plano, TX",94,careers_portal,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,high,2026-07-04,Cybersecurity developer opportunity within SEP
DS-C001-10,C001,JPMorgan Chase,award,Plano technology hub recognition,2026-05-15,Global Technology,DFW Tech Hub,"Plano, TX",78,careers_site,https://careers.jpmorgan.com/about/technology,medium,2026-07-04,Plano cited as major US technology hub
DS-C001-11,C001,JPMorgan Chase,hiring_event,CCBSI full-time program — technology scale,2026-06-12,Campus,Data / Technology,DFW,80,careers_portal,https://careers.jpmorgan.com/global/en/students/programs/ccbsi-fulltime,high,2026-07-04,Campus program page references 60K technologists
DS-C001-12,C001,JPMorgan Chase,job_posting,Site Reliability Engineer — SEP track,2026-07-01,Infrastructure,SRE / Cloud,"Plano, TX",91,careers_portal,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,high,2026-07-04,SRE track within software engineer program
DS-C002-01,C002,Goldman Sachs,press_release,Dallas campus expansion — engineering hiring,2026-06-20,Engineering,Software / Data,"Dallas, TX",88,careers_portal,https://www.goldmansachs.com/careers,high,2026-07-04,Major Dallas campus engineering demand
DS-C002-02,C002,Goldman Sachs,job_posting,Technology Analyst — Dallas,2026-06-25,Technology,Analytics / Engineering,"Dallas, TX",85,careers_portal,https://www.goldmansachs.com/careers,medium,2026-07-04,Dallas technology analyst hiring signal
DS-C003-01,C003,Bank of America,transformation_project,New Dallas campus technology buildout,2026-06-18,Technology,Platform / Risk,"Dallas, TX",87,careers_portal,https://careers.bankofamerica.com,high,2026-07-04,DFW campus expansion hiring signal
DS-C003-02,C003,Bank of America,job_posting,Platform Engineer — Dallas,2026-06-28,Technology,Cloud / Platform,"Dallas, TX",84,careers_portal,https://careers.bankofamerica.com,medium,2026-07-04,Platform engineering demand in Dallas
DS-C004-01,C004,Citi,press_release,Irving campus — technology and operations,2026-06-15,Technology,Risk / Platform,"Irving, TX",86,careers_portal,https://jobs.citi.com,high,2026-07-04,Irving campus spans technology and global functions
DS-C004-02,C004,Citi,job_posting,AI Automation Analyst — Irving,2026-06-30,Technology,AI / Automation,"Irving, TX",89,careers_portal,https://jobs.citi.com,high,2026-07-04,AI automation analyst demand
DS-C005-01,C005,Charles Schwab,product_launch,Finance platform modernization — Westlake,2026-06-22,Technology,Cloud / Data,"Westlake, TX",83,careers_portal,https://www.schwabjobs.com,high,2026-07-04,Westlake HQ finance-platform modernization
DS-C006-01,C006,Capital One,blog_post,Plano technology hub — cloud and data,2026-06-20,Technology,Cloud / Data,"Plano, TX",88,careers_portal,https://www.capitalonecareers.com,high,2026-07-04,Plano cloud/data-heavy employer signal
DS-C007-01,C007,Toyota Motor North America,transformation_project,Auto platforms — data and cloud demand,2026-06-18,Technology,Cyber / Cloud / Data,"Plano, TX",82,careers_portal,https://careers.toyota.com,medium,2026-07-04,Auto platform modernization hiring
DS-C008-01,C008,AT&T,press_release,Telecom modernization and AI operations,2026-06-25,Technology,Network / AI / Security,"Dallas, TX",85,careers_portal,https://www.att.jobs,high,2026-07-04,Telecom modernization hiring themes
DS-C009-01,C009,Ericsson,product_launch,5G/cloud infrastructure — Plano,2026-06-20,Technology,5G / Cloud,"Plano, TX",84,careers_portal,https://jobs.ericsson.com/careers,high,2026-07-04,5G and cloud infrastructure roles
DS-C010-01,C010,NTT DATA,job_posting,Enterprise modernization consulting — DFW,2026-06-28,Consulting,Cloud / Data,Plano / Dallas,80,careers_portal,https://careers.nttdata.com,medium,2026-07-04,Consulting delivery and modernization roles
