company,contact_type,search_query,LinkedIn_search_url,message_angle,notes
JPMorgan Chase,recruiter,Talent Acquisition Partner Sample Talent 1,"""JPMorgan Chase"" ""Talent Acquisition Partner"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 1 - attack first
JPMorgan Chase,hiring_manager,Engineering Manager Sample Engineering 2,"""JPMorgan Chase"" ""Engineering Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
JPMorgan Chase,alumni,UNT Alumni - Technology Analyst Sample UNT 3,"""JPMorgan Chase"" ""UNT Alumni - Technology Analyst"" ""Plano""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
Goldman Sachs,recruiter,Talent Acquisition Partner Sample Talent 4,"""Goldman Sachs"" ""Talent Acquisition Partner"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 1 - attack first
Goldman Sachs,hiring_manager,Engineering Manager Sample Engineering 5,"""Goldman Sachs"" ""Engineering Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Goldman Sachs,peer,Cloud Engineer Sample Cloud 6,"""Goldman Sachs"" ""Cloud Engineer"" ""Dallas""",Ask about day-to-day and team culture,Status: messaged; Tier 1 - attack first
Bank of America,recruiter,University Recruiter Sample University 7,"""Bank of America"" ""University Recruiter"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Bank of America,hiring_manager,Technology Risk Manager Sample Technology 8,"""Bank of America"" ""Technology Risk Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Bank of America,alumni,UNT Alumni - Cloud Engineer Sample UNT 9,"""Bank of America"" ""UNT Alumni - Cloud Engineer"" ""Dallas""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
Citi,recruiter,University Recruiter Sample University 10,"""Citi"" ""University Recruiter"" ""Irving""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Citi,hiring_manager,Technology Risk Manager Sample Technology 11,"""Citi"" ""Technology Risk Manager"" ""Irving""",Reference business problem and portfolio project,Status: replied; Tier 1 - attack first
Citi,peer,Data Analyst Sample Data 12,"""Citi"" ""Data Analyst"" ""Irving""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Charles Schwab,recruiter,University Recruiter Sample University 13,"""Charles Schwab"" ""University Recruiter"" ""Westlake""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Charles Schwab,hiring_manager,Data Platform Manager Sample Data 14,"""Charles Schwab"" ""Data Platform Manager"" ""Westlake""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Charles Schwab,peer,Security Engineer Sample Security 15,"""Charles Schwab"" ""Security Engineer"" ""Westlake""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Capital One,recruiter,Technical Recruiter Sample Technical 16,"""Capital One"" ""Technical Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 1 - attack first
Capital One,hiring_manager,Engineering Manager Sample Engineering 17,"""Capital One"" ""Engineering Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Capital One,peer,Data Analyst Sample Data 18,"""Capital One"" ""Data Analyst"" ""Plano""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Toyota Motor North America,recruiter,Technical Recruiter Sample Technical 19,"""Toyota Motor North America"" ""Technical Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 1 - attack first
Toyota Motor North America,hiring_manager,Engineering Manager Sample Engineering 20,"""Toyota Motor North America"" ""Engineering Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Toyota Motor North America,alumni,UNT Alumni - MIS Graduate Sample UNT 21,"""Toyota Motor North America"" ""UNT Alumni - MIS Graduate"" ""Plano""",Fellow alum connection and skills alignment,Status: messaged; Tier 1 - attack first
AT&T,recruiter,University Recruiter Sample University 22,"""AT&T"" ""University Recruiter"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 1 - attack first
AT&T,hiring_manager,Data Platform Manager Sample Data 23,"""AT&T"" ""Data Platform Manager"" ""Dallas""",Reference business problem and portfolio project,Status: replied; Tier 1 - attack first
AT&T,alumni,UNT Alumni - MIS Graduate Sample UNT 24,"""AT&T"" ""UNT Alumni - MIS Graduate"" ""Dallas""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
Ericsson,recruiter,University Recruiter Sample University 25,"""Ericsson"" ""University Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Ericsson,hiring_manager,Cybersecurity Manager Sample Cybersecurity 26,"""Ericsson"" ""Cybersecurity Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Ericsson,alumni,UNT Alumni - Cloud Engineer Sample UNT 27,"""Ericsson"" ""UNT Alumni - Cloud Engineer"" ""Plano""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
NTT DATA,recruiter,Talent Acquisition Partner Sample Talent 28,"""NTT DATA"" ""Talent Acquisition Partner"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
NTT DATA,hiring_manager,Technology Risk Manager Sample Technology 29,"""NTT DATA"" ""Technology Risk Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
NTT DATA,alumni,UNT Alumni - Technology Analyst Sample UNT 30,"""NTT DATA"" ""UNT Alumni - Technology Analyst"" ""Plano""",Fellow alum connection and skills alignment,Status: messaged; Tier 1 - attack first
Samsung Electronics America / Samsung Austin Semiconductor,recruiter,Technical Recruiter Sample Technical 31,"""Samsung Electronics America / Samsung Austin Semiconductor"" ""Technical Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Samsung Electronics America / Samsung Austin Semiconductor,hiring_manager,Technology Risk Manager Sample Technology 32,"""Samsung Electronics America / Samsung Austin Semiconductor"" ""Technology Risk Manager"" ""Plano""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Samsung Electronics America / Samsung Austin Semiconductor,peer,Cloud Engineer Sample Cloud 33,"""Samsung Electronics America / Samsung Austin Semiconductor"" ""Cloud Engineer"" ""Plano""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
KPMG,recruiter,Talent Acquisition Partner Sample Talent 34,"""KPMG"" ""Talent Acquisition Partner"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 1 - attack first
KPMG,hiring_manager,Technology Risk Manager Sample Technology 35,"""KPMG"" ""Technology Risk Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
KPMG,peer,Security Engineer Sample Security 36,"""KPMG"" ""Security Engineer"" ""Dallas""",Ask about day-to-day and team culture,Status: replied; Tier 1 - attack first
Deloitte,recruiter,Technical Recruiter Sample Technical 37,"""Deloitte"" ""Technical Recruiter"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 1 - attack first
Deloitte,hiring_manager,Data Platform Manager Sample Data 38,"""Deloitte"" ""Data Platform Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Deloitte,peer,Data Analyst Sample Data 39,"""Deloitte"" ""Data Analyst"" ""Dallas""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Accenture,recruiter,Talent Acquisition Partner Sample Talent 40,"""Accenture"" ""Talent Acquisition Partner"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Accenture,hiring_manager,Data Platform Manager Sample Data 41,"""Accenture"" ""Data Platform Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Accenture,peer,Cloud Engineer Sample Cloud 42,"""Accenture"" ""Cloud Engineer"" ""Dallas""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Cognizant,recruiter,University Recruiter Sample University 43,"""Cognizant"" ""University Recruiter"" ""DFW""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 1 - attack first
