project_id,company_id,company_name,theme,description,confidence_level,source_type,source_url
PR001,C001,JPMorgan Chase,AI productivity platform,JPMorganChase careers site cites 60K+ global technologists and AI-driven productivity initiatives with governance emphasis.,high,careers_site,https://careers.jpmorgan.com/about/technology
PR002,C001,JPMorgan Chase,Plano technology hub,"Public careers content highlights Plano, Texas as a major technology hub with veteran and early-career pathways.",high,careers_site,https://careers.jpmorgan.com/about/technology
PR003,C001,JPMorgan Chase,Digital banking modernization,Consumer and commercial banking divisions invest in mobile and web platform upgrades per public careers and newsroom themes.,medium,newsroom,https://www.jpmorganchase.com/newsroom
PR004,C002,Goldman Sachs,Engineering at scale,"Goldman Sachs Engineering page describes software and systems engineering for trading, risk, and banking platforms.",high,careers_site,https://www.goldmansachs.com/careers/our-firm/engineering
PR005,C002,Goldman Sachs,Dallas office expansion,Goldman Sachs Dallas office page invites candidates to explore open roles in Dallas — second-largest US office.,high,careers_site,https://www.goldmansachs.com/careers/discover/dallas-office
PR006,C002,Goldman Sachs,Machine learning and AI,Featured engineering roles include machine learning and artificial intelligence on public careers portal.,medium,careers_site,https://www.goldmansachs.com/careers
PR007,C003,Bank of America,Digital transformation,Bank of America public careers and news content emphasize digital transformation and technology hiring.,medium,careers_site,https://careers.bankofamerica.com
PR008,C003,Bank of America,Cloud and data platforms,"Public technology pages describe cloud, data, and analytics investments.",medium,tech_blog,https://careers.bankofamerica.com/en-us/life-at-bank-of-america/technology
PR009,C003,Bank of America,Cybersecurity programs,Enterprise security and compliance themes appear in public careers and news materials.,medium,newsroom,https://newsroom.bankofamerica.com
PR010,C004,Citi,Digital transformation,Citi public careers and news content emphasize digital transformation and technology hiring.,medium,careers_site,https://jobs.citi.com
PR011,C004,Citi,Cloud and data platforms,"Public technology pages describe cloud, data, and analytics investments.",medium,tech_blog,https://jobs.citi.com/technology
PR012,C004,Citi,Cybersecurity programs,Enterprise security and compliance themes appear in public careers and news materials.,medium,newsroom,https://www.citigroup.com/global/news
PR013,C005,Charles Schwab,Digital transformation,Charles Schwab public careers and news content emphasize digital transformation and technology hiring.,medium,careers_site,https://www.schwabjobs.com
PR014,C005,Charles Schwab,Cloud and data platforms,"Public technology pages describe cloud, data, and analytics investments.",medium,tech_blog,https://www.aboutschwab.com/who-we-are/technology
PR015,C005,Charles Schwab,Cybersecurity programs,Enterprise security and compliance themes appear in public careers and news materials.,medium,newsroom,https://pressroom.aboutschwab.com
PR016,C006,Capital One,Cloud-first banking,Capital One Tech blog and careers site describe AWS-first architecture and internal developer platforms.,high,engineering_blog,https://www.capitalone.com/tech/
PR017,C006,Capital One,ML fraud detection,Public tech content references machine learning for fraud and customer analytics.,medium,engineering_blog,https://www.capitalone.com/tech/
PR018,C006,Capital One,Plano technology hub,Capital One careers portal lists Plano as major technology hiring location.,high,careers_site,https://www.capitalonecareers.com
PR019,C007,Toyota Motor North America,Mobility and connected services,"Toyota careers site describes leading future of mobility with technology, data, and analytics roles in Plano.",high,careers_site,https://careers.toyota.com/us/en/home
PR020,C007,Toyota Motor North America,Supply chain software,"Public job taxonomy includes Technology, Data and Analytics functions supporting vehicle and parts supply chain.",high,careers_site,https://careers.toyota.com/us/en/search-results
PR021,C007,Toyota Motor North America,Talent community recruiting,Toyota careers portal uses online candidate portal and talent community for recruiting outreach.,high,careers_site,https://careers.toyota.com/us/en/home
PR022,C008,AT&T,Network modernization,"AT&T investor and innovation pages describe 5G, fiber, and core network transformation.",high,investor_relations,https://investors.att.com
PR023,C008,AT&T,AI-driven operations,AT&T innovation content references AI for network and customer operations.,medium,public_company_profile,https://about.att.com/innovation
PR024,C008,AT&T,DFW technology hiring,"AT&T Jobs portal lists Dallas, Plano, and Irving technology roles.",high,careers_site,https://www.att.jobs
